id,po_number,buyer_id,supplier_id,amount,quantity,description,po_date,expected_delivery_date,status
46,PO-202505-000046,1,25,2965850.62,229,Programmable national concept,2025-05-07,2025-05-22,confirmed
47,PO-202505-000047,1,25,3851864.83,475,Self-enabling multi-tasking system engine,2025-05-07,2025-07-30,confirmed
48,PO-202512-000048,1,25,2273235.37,844,Inverse human-resource superstructure,2025-12-19,2026-02-01,confirmed
49,PO-202512-000049,1,38,1556133.34,283,Ameliorated tangible application,2025-12-19,2026-01-27,confirmed
50,PO-202503-000050,1,38,487759.37,677,Multi-channeled neutral open architecture,2025-03-30,2025-06-06,delivered
51,PO-202509-000051,1,38,2985069.03,905,Advanced asymmetric knowledgebase,2025-09-11,2025-09-28,confirmed
52,PO-202510-000052,1,38,1079435.06,104,Enhanced background hardware,2025-10-01,2025-10-20,confirmed
53,PO-202504-000053,1,38,2412436.13,721,Assimilated multimedia algorithm,2025-04-06,2025-04-27,confirmed
54,PO-202508-000054,1,38,2898248.1,412,Universal systematic emulation,2025-08-28,2025-11-07,confirmed
55,PO-202506-000055,1,38,2214971.6,773,Decentralized cohesive core,2025-06-02,2025-06-24,confirmed
56,PO-202504-000056,1,38,2092923.35,297,Public-key uniform help-desk,2025-04-25,2025-06-08,delivered
57,PO-202504-000057,1,38,1463378.61,613,Re-engineered maximized hardware,2025-04-12,2025-06-07,confirmed
58,PO-202601-000058,2,24,3195580.94,677,Compatible explicit neural-net,2026-01-23,2026-04-14,confirmed
59,PO-202511-000059,2,24,1698077.34,282,Optimized local service-desk,2025-11-12,2025-12-04,delivered
60,PO-202510-000060,2,24,3429453.74,901,Horizontal cohesive data-warehouse,2025-10-29,2025-12-05,confirmed
61,PO-202504-000061,2,24,2158594.61,49,Implemented context-sensitive challenge,2025-04-11,2025-06-09,confirmed
62,PO-202511-000062,2,24,2902831.14,327,Versatile mobile middleware,2025-11-28,2026-02-04,confirmed
63,PO-202507-000063,2,24,842543.29,386,Multi-channeled regional info-mediaries,2025-07-07,2025-08-14,delivered
64,PO-202507-000064,2,18,3346934.48,231,Reactive foreground matrix,2025-07-06,2025-08-28,confirmed
65,PO-202510-000065,2,18,8716109.17,937,Up-sized methodical process improvement,2025-10-17,2025-11-08,delivered
66,PO-202509-000066,2,18,4979236.56,427,Configurable analyzing projection,2025-09-10,2025-12-05,delivered
67,PO-202506-000067,2,18,2330955.72,249,Balanced 24/7 instruction set,2025-06-16,2025-08-02,confirmed
68,PO-202511-000068,2,18,4195788.3,81,Upgradable well-modulated alliance,2025-11-07,2026-01-18,confirmed
69,PO-202508-000069,2,18,1935224.67,742,Right-sized mission-critical Graphic Interface,2025-08-15,2025-09-23,confirmed
70,PO-202505-000070,2,18,3608292.09,690,Vision-oriented logistical initiative,2025-05-07,2025-05-27,confirmed
71,PO-202503-000071,2,18,2844960.85,780,Realigned exuding ability,2025-03-08,2025-06-06,delivered
72,PO-202506-000072,2,18,3119245.26,214,Future-proofed asymmetric hierarchy,2025-06-24,2025-08-20,confirmed
73,PO-202510-000073,2,31,738198.52,195,Stand-alone mobile toolset,2025-10-02,2025-11-01,confirmed
74,PO-202511-000074,2,31,2344431.71,713,Decentralized analyzing utilization,2025-11-21,2026-01-01,confirmed
75,PO-202505-000075,2,16,1182715.44,795,Automated stable methodology,2025-05-31,2025-07-21,confirmed
76,PO-202509-000076,2,16,1029650.68,665,Optimized dedicated hierarchy,2025-09-27,2025-11-26,confirmed
77,PO-202509-000077,2,16,664614.27,526,Public-key bottom-line customer loyalty,2025-09-27,2025-12-14,confirmed
78,PO-202509-000078,2,16,374007.68,740,Virtual optimizing system engine,2025-09-02,2025-11-16,confirmed
79,PO-202510-000079,2,16,1828744.24,380,Public-key eco-centric customer loyalty,2025-10-27,2025-12-21,confirmed
80,PO-202509-000080,2,33,2465577.3,227,User-centric secondary adapter,2025-09-19,2025-10-22,confirmed
81,PO-202503-000081,2,33,1361138.62,958,Customer-focused global implementation,2025-03-29,2025-06-26,delivered
82,PO-202512-000082,2,17,2251371.2,157,Persevering actuating solution,2025-12-01,2026-01-10,confirmed
83,PO-202503-000083,2,17,1452667.63,584,Horizontal systemic task-force,2025-03-17,2025-05-02,confirmed
84,PO-202503-000084,2,17,2818013.19,967,Ameliorated asymmetric software,2025-03-24,2025-05-21,confirmed
85,PO-202510-000085,2,17,3723852.39,501,Visionary multimedia concept,2025-10-20,2026-01-05,confirmed
86,PO-202506-000086,2,17,1189562.34,815,Advanced encompassing emulation,2025-06-24,2025-08-23,confirmed
87,PO-202508-000087,2,17,1069155.51,560,Devolved mission-critical knowledge user,2025-08-31,2025-11-16,confirmed
88,PO-202512-000088,2,17,4377682.21,556,Reactive leadingedge capacity,2025-12-17,2026-01-08,delivered
89,PO-202508-000089,2,17,617190.97,868,Operative next generation hierarchy,2025-08-05,2025-08-29,confirmed
90,PO-202601-000090,2,17,3728018.04,423,Visionary full-range function,2026-01-01,2026-02-02,confirmed
91,PO-202512-000091,2,17,762590.64,155,Centralized system-worthy intranet,2025-12-03,2025-12-19,confirmed
92,PO-202502-000092,2,17,2626769.99,383,Re-contextualized tertiary migration,2025-02-28,2025-03-22,delivered
93,PO-202504-000093,2,17,3188860.66,957,Devolved 24/7 budgetary management,2025-04-24,2025-07-09,confirmed
94,PO-202508-000094,2,17,540147.99,545,Optimized logistical productivity,2025-08-20,2025-11-13,confirmed
95,PO-202505-000095,3,19,705372.53,740,User-friendly fresh-thinking Local Area Network,2025-05-05,2025-06-24,delivered
96,PO-202506-000096,3,19,6006557.23,18,Face-to-face zero administration open system,2025-06-27,2025-09-14,confirmed
97,PO-202505-000097,3,34,4707101.05,184,Devolved discrete capability,2025-05-13,2025-06-10,confirmed
98,PO-202512-000098,3,34,2846669.93,247,Integrated dedicated moderator,2025-12-15,2026-01-23,delivered
99,PO-202504-000099,3,34,2855944.99,835,Diverse leadingedge functionalities,2025-04-27,2025-06-26,confirmed
100,PO-202507-000100,3,34,4058587.2,81,Organized disintermediate moratorium,2025-07-06,2025-09-06,confirmed
101,PO-202504-000101,3,34,2553769.7,250,Intuitive zero administration customer loyalty,2025-04-13,2025-05-26,confirmed
102,PO-202507-000102,3,34,3561840.76,869,Switchable optimal function,2025-07-24,2025-08-18,confirmed
103,PO-202509-000103,3,34,916545.92,389,Front-line attitude-oriented middleware,2025-09-21,2025-11-23,delivered
104,PO-202503-000104,3,34,2629953.16,653,Cross-group non-volatile software,2025-03-07,2025-03-23,confirmed
105,PO-202512-000105,3,34,868103.52,866,Stand-alone secondary service-desk,2025-12-01,2026-02-09,confirmed
106,PO-202503-000106,3,34,3032437.89,879,Cloned actuating capability,2025-03-27,2025-04-23,delivered
107,PO-202504-000107,3,34,4615005.07,236,Grass-roots context-sensitive flexibility,2025-04-01,2025-05-13,delivered
108,PO-202511-000108,3,34,2627691.88,48,Intuitive static Internet solution,2025-11-06,2025-11-30,confirmed
109,PO-202509-000109,3,34,4526130.41,578,Public-key mission-critical structure,2025-09-22,2025-10-11,confirmed
110,PO-202506-000110,3,34,4658071.08,323,De-engineered well-modulated leverage,2025-06-21,2025-07-08,confirmed
111,PO-202511-000111,3,25,752524.87,841,Centralized solution-oriented framework,2025-11-24,2026-01-28,confirmed
112,PO-202512-000112,3,25,1209651.17,578,Reduced content-based approach,2025-12-28,2026-02-11,delivered
113,PO-202509-000113,3,25,2787707.51,399,Reduced explicit access,2025-09-14,2025-12-07,confirmed
114,PO-202503-000114,3,25,1458925.96,758,Devolved 24hour website,2025-03-08,2025-04-09,confirmed
115,PO-202601-000115,3,25,1803635.44,998,Compatible hybrid matrices,2026-01-12,2026-03-12,confirmed
116,PO-202510-000116,3,25,615445.41,238,Profit-focused zero tolerance structure,2025-10-08,2025-11-01,confirmed
117,PO-202601-000117,3,25,2111291.66,629,Exclusive maximized Internet solution,2026-01-07,2026-03-13,confirmed
118,PO-202512-000118,3,25,414832.79,280,Ergonomic scalable artificial intelligence,2025-12-26,2026-03-08,confirmed
119,PO-202503-000119,3,25,999964.8,567,Synchronized asymmetric project,2025-03-10,2025-05-12,confirmed
120,PO-202601-000120,3,25,874985.84,600,Multi-channeled mobile monitoring,2026-01-15,2026-03-19,confirmed
121,PO-202502-000121,3,25,2603533.45,303,Monitored cohesive monitoring,2025-02-26,2025-04-13,confirmed
122,PO-202503-000122,3,37,2639882.4,390,Customer-focused optimizing emulation,2025-03-21,2025-04-24,confirmed
123,PO-202505-000123,3,37,2979065.61,110,Business-focused non-volatile contingency,2025-05-23,2025-06-18,confirmed
124,PO-202511-000124,3,37,7340406.55,456,Fundamental non-volatile standardization,2025-11-13,2026-01-13,confirmed
125,PO-202510-000125,4,31,558877.72,192,Assimilated 3rdgeneration open system,2025-10-15,2025-12-24,confirmed
126,PO-202505-000126,4,31,1532661.26,525,Intuitive multi-state approach,2025-05-03,2025-07-09,confirmed
127,PO-202512-000127,4,31,315143.71,363,Function-based modular process improvement,2025-12-02,2026-02-25,confirmed
128,PO-202508-000128,4,19,1651767.96,333,Stand-alone contextually-based conglomeration,2025-08-12,2025-10-15,confirmed
129,PO-202508-000129,4,19,938573.32,398,Persistent directional application,2025-08-15,2025-09-09,delivered
130,PO-202507-000130,4,19,2367215.71,249,Upgradable upward-trending firmware,2025-07-08,2025-10-04,delivered
131,PO-202509-000131,4,19,653794.26,390,Open-architected national info-mediaries,2025-09-04,2025-10-10,confirmed
132,PO-202509-000132,4,19,885168.38,275,Multi-channeled secondary interface,2025-09-26,2025-12-13,confirmed
133,PO-202506-000133,4,19,406162.91,446,Re-engineered national algorithm,2025-06-21,2025-08-10,confirmed
134,PO-202509-000134,4,19,956985.47,802,Synergistic multimedia hub,2025-09-17,2025-10-11,confirmed
135,PO-202505-000135,4,19,845061.25,253,Seamless 4thgeneration solution,2025-05-30,2025-08-16,delivered
136,PO-202509-000136,4,19,1695149.41,469,Optional content-based monitoring,2025-09-21,2025-10-19,confirmed
137,PO-202509-000137,4,19,968411.95,972,Reverse-engineered cohesive encoding,2025-09-08,2025-11-12,confirmed
138,PO-202504-000138,4,19,2219091.73,390,User-centric encompassing matrices,2025-04-07,2025-06-03,confirmed
139,PO-202511-000139,4,29,5775571.13,844,Reduced 3rdgeneration challenge,2025-11-26,2025-12-28,confirmed
140,PO-202511-000140,4,29,4603338.97,971,Customizable exuding strategy,2025-11-23,2026-01-02,confirmed
141,PO-202507-000141,4,29,4534233.12,988,Virtual explicit access,2025-07-18,2025-09-21,confirmed
142,PO-202509-000142,4,29,4291844.84,712,Polarized value-added synergy,2025-09-14,2025-11-30,delivered
143,PO-202505-000143,4,29,9521540.47,334,Centralized intermediate leverage,2025-05-14,2025-07-16,confirmed
144,PO-202511-000144,4,29,9889573.51,403,Exclusive multi-state knowledgebase,2025-11-19,2026-01-19,confirmed
145,PO-202601-000145,4,29,11121739.49,205,Balanced full-range moderator,2026-01-21,2026-04-21,delivered
146,PO-202512-000146,4,27,8927648.36,564,Phased real-time firmware,2025-12-17,2026-01-04,confirmed
147,PO-202503-000147,4,27,11869610.94,215,Intuitive static archive,2025-03-04,2025-05-14,confirmed
148,PO-202504-000148,4,27,10611882.74,71,Virtual modular initiative,2025-04-06,2025-06-12,confirmed
149,PO-202506-000149,4,27,2818411.04,311,Exclusive coherent approach,2025-06-11,2025-07-26,confirmed
150,PO-202601-000150,4,30,1342501.38,434,Focused demand-driven capability,2026-01-03,2026-03-07,confirmed
151,PO-202509-000151,4,30,2835163.78,613,Stand-alone asymmetric function,2025-09-07,2025-11-22,delivered
152,PO-202508-000152,4,30,2590902.77,519,Profit-focused multi-tasking task-force,2025-08-15,2025-10-22,delivered
153,PO-202511-000153,4,30,748429.22,992,Right-sized systemic parallelism,2025-11-15,2026-01-15,delivered
154,PO-202503-000154,4,30,3567786.66,937,Optimized disintermediate alliance,2025-03-15,2025-04-09,confirmed
155,PO-202509-000155,4,30,4454172.81,674,Right-sized well-modulated interface,2025-09-05,2025-11-04,confirmed
156,PO-202507-000156,4,30,3836940.01,46,Enterprise-wide local Graphical User Interface,2025-07-31,2025-10-26,confirmed
157,PO-202503-000157,4,30,5455564.17,340,Configurable multimedia contingency,2025-03-10,2025-05-19,confirmed
158,PO-202512-000158,4,30,615738.15,265,Team-oriented 24/7 superstructure,2025-12-17,2026-01-29,delivered
159,PO-202508-000159,4,30,4342315.45,572,Future-proofed user-facing Graphical User Interface,2025-08-13,2025-11-10,delivered
160,PO-202510-000160,4,30,1681036.48,384,Robust 3rdgeneration pricing structure,2025-10-09,2025-12-13,confirmed
161,PO-202508-000161,4,30,4471321.04,603,Balanced disintermediate orchestration,2025-08-25,2025-11-12,confirmed
162,PO-202511-000162,5,26,4192247.49,495,Automated upward-trending conglomeration,2025-11-24,2025-12-22,confirmed
163,PO-202512-000163,5,26,1992829.77,985,Vision-oriented bifurcated paradigm,2025-12-14,2026-01-08,confirmed
164,PO-202512-000164,5,26,3563172.53,748,Persistent analyzing complexity,2025-12-23,2026-01-25,confirmed
165,PO-202511-000165,5,26,1599300.74,467,Versatile static success,2025-11-26,2026-01-06,delivered
166,PO-202507-000166,5,26,2245959.15,488,Ergonomic zero tolerance process improvement,2025-07-04,2025-07-31,confirmed
167,PO-202506-000167,5,26,3149836.75,464,Focused explicit complexity,2025-06-30,2025-08-24,confirmed
168,PO-202601-000168,5,26,1555343.71,830,Assimilated human-resource superstructure,2026-01-17,2026-02-15,confirmed
169,PO-202510-000169,5,21,1434223.78,112,Enterprise-wide uniform matrix,2025-10-30,2025-12-05,confirmed
170,PO-202505-000170,5,21,1980252.29,566,Expanded real-time superstructure,2025-05-14,2025-06-18,confirmed
171,PO-202504-000171,5,21,2118736.38,982,Face-to-face reciprocal function,2025-04-27,2025-07-10,confirmed
172,PO-202505-000172,5,21,2869991.03,645,Grass-roots background paradigm,2025-05-31,2025-07-08,confirmed
173,PO-202503-000173,5,21,2373346.99,443,Inverse high-level ability,2025-03-15,2025-05-19,confirmed
174,PO-202507-000174,5,21,2679364.71,905,Customizable tangible infrastructure,2025-07-19,2025-08-28,confirmed
175,PO-202512-000175,5,21,2220903.46,399,Triple-buffered zero administration data-warehouse,2025-12-23,2026-01-07,confirmed
176,PO-202508-000176,5,21,1000682.83,771,Phased bifurcated model,2025-08-18,2025-09-10,delivered
177,PO-202509-000177,5,21,672172.53,893,Programmable real-time orchestration,2025-09-11,2025-12-03,confirmed
178,PO-202510-000178,5,21,1505952.75,202,Down-sized systemic website,2025-10-05,2025-12-17,confirmed
179,PO-202509-000179,5,21,1179314.36,884,Advanced context-sensitive alliance,2025-09-01,2025-11-17,delivered
180,PO-202512-000180,5,21,3401003.27,321,Organized client-server pricing structure,2025-12-24,2026-02-26,delivered
181,PO-202507-000181,5,21,1590426.13,117,Digitized actuating circuit,2025-07-28,2025-09-25,confirmed
182,PO-202601-000182,5,21,3020812.4,633,Object-based national emulation,2026-01-05,2026-02-11,confirmed
183,PO-202510-000183,5,21,3251849.81,605,Up-sized full-range extranet,2025-10-21,2025-11-15,confirmed
184,PO-202506-000184,5,31,2136335.03,313,Multi-layered real-time interface,2025-06-21,2025-07-20,confirmed
185,PO-202511-000185,5,31,4519652.82,145,Object-based eco-centric website,2025-11-04,2026-01-23,confirmed
186,PO-202506-000186,5,31,4938881.79,142,Profound bifurcated hardware,2025-06-29,2025-09-25,confirmed
187,PO-202506-000187,5,31,4983663.17,499,Balanced tangible portal,2025-06-19,2025-09-10,confirmed
188,PO-202510-000188,5,31,6214056.7,502,Compatible responsive approach,2025-10-28,2025-12-18,confirmed
189,PO-202601-000189,5,31,2782321.36,863,Business-focused 3rdgeneration hub,2026-01-24,2026-04-06,delivered
190,PO-202502-000190,5,31,1536873.52,368,Multi-tiered empowering success,2025-02-27,2025-03-15,confirmed
191,PO-202512-000191,5,22,2880722.92,394,Reduced mission-critical circuit,2025-12-29,2026-03-25,delivered
192,PO-202506-000192,5,22,7188467.25,419,Optimized asynchronous initiative,2025-06-21,2025-09-06,confirmed
193,PO-202503-000193,5,22,7725335.7,455,Re-contextualized intangible success,2025-03-16,2025-06-01,confirmed
194,PO-202505-000194,5,22,1822858.59,32,Focused disintermediate intranet,2025-05-22,2025-07-04,confirmed
195,PO-202506-000195,5,27,579368.99,551,Programmable zero-defect process improvement,2025-06-21,2025-08-11,confirmed
196,PO-202504-000196,5,27,1338754.28,580,Up-sized disintermediate circuit,2025-04-12,2025-06-29,delivered
197,PO-202505-000197,5,24,521762.35,117,Visionary composite policy,2025-05-11,2025-06-29,delivered
198,PO-202512-000198,5,24,2173354.98,376,Integrated bandwidth-monitored groupware,2025-12-17,2026-03-11,confirmed
199,PO-202506-000199,5,24,2026171.84,452,Multi-layered motivating monitoring,2025-06-15,2025-09-07,confirmed
200,PO-202506-000200,5,24,2560609.44,105,Right-sized next generation software,2025-06-20,2025-08-05,confirmed
201,PO-202507-000201,5,24,2293204.37,34,Re-contextualized maximized website,2025-07-18,2025-09-28,confirmed
202,PO-202508-000202,5,24,1069212.22,837,Up-sized uniform standardization,2025-08-26,2025-09-21,confirmed
203,PO-202510-000203,5,24,2271062.77,121,Synergized maximized approach,2025-10-04,2025-11-18,confirmed
204,PO-202508-000204,5,24,2144094.3,603,Re-engineered 4thgeneration policy,2025-08-30,2025-10-28,delivered
205,PO-202508-000205,5,24,1730232.89,170,Exclusive exuding analyzer,2025-08-13,2025-09-14,confirmed
206,PO-202511-000206,5,24,2150670.11,825,Programmable reciprocal encryption,2025-11-05,2025-11-27,delivered
207,PO-202506-000207,6,32,2651155.9,612,Versatile actuating product,2025-06-28,2025-09-19,confirmed
208,PO-202504-000208,6,32,1791488.29,721,Reactive national orchestration,2025-04-25,2025-06-16,confirmed
209,PO-202510-000209,6,32,2817853.58,976,Front-line multi-state service-desk,2025-10-28,2026-01-16,confirmed
210,PO-202504-000210,6,32,1016550.25,769,Ergonomic asymmetric knowledge user,2025-04-11,2025-06-17,confirmed
211,PO-202512-000211,6,32,4547474.96,888,Optional leadingedge architecture,2025-12-25,2026-01-25,confirmed
212,PO-202505-000212,6,32,1486661.8,729,Networked multimedia migration,2025-05-22,2025-07-17,confirmed
213,PO-202507-000213,6,32,3595566.01,693,Operative intermediate groupware,2025-07-07,2025-09-10,confirmed
214,PO-202510-000214,6,27,1940220.65,276,Reduced cohesive model,2025-10-24,2025-12-31,confirmed
215,PO-202512-000215,6,27,1586761.96,649,Compatible dynamic monitoring,2025-12-23,2026-01-18,confirmed
216,PO-202507-000216,6,27,1766041.06,285,Assimilated clear-thinking structure,2025-07-08,2025-09-08,confirmed
217,PO-202511-000217,6,27,2990810.57,336,De-engineered executive throughput,2025-11-20,2026-02-17,confirmed
218,PO-202512-000218,6,29,1069980.57,751,Exclusive asymmetric groupware,2025-12-19,2026-01-14,confirmed
219,PO-202503-000219,6,29,901617.65,715,Streamlined analyzing array,2025-03-24,2025-05-23,confirmed
220,PO-202503-000220,6,29,1096018.75,408,De-engineered regional extranet,2025-03-24,2025-05-05,confirmed
221,PO-202506-000221,6,29,1131275.64,507,Robust composite paradigm,2025-06-30,2025-08-18,confirmed
222,PO-202508-000222,6,29,1135501.15,346,Ergonomic asymmetric collaboration,2025-08-11,2025-11-04,delivered
223,PO-202508-000223,6,29,292144.7,873,Diverse needs-based structure,2025-08-27,2025-11-12,confirmed
224,PO-202509-000224,6,29,1215045.71,781,Synergized foreground moratorium,2025-09-11,2025-10-02,confirmed
225,PO-202511-000225,6,29,254652.0,803,Enterprise-wide coherent superstructure,2025-11-25,2026-02-06,confirmed
226,PO-202511-000226,6,29,284461.02,879,Quality-focused stable help-desk,2025-11-26,2025-12-31,confirmed
227,PO-202504-000227,6,29,686082.73,982,Pre-emptive mobile firmware,2025-04-16,2025-06-24,confirmed
228,PO-202502-000228,6,29,1337774.47,932,Upgradable stable Internet solution,2025-02-25,2025-03-28,confirmed
229,PO-202601-000229,6,29,326450.95,956,Enhanced homogeneous methodology,2026-01-11,2026-03-02,confirmed
230,PO-202508-000230,6,29,925485.98,257,Digitized scalable collaboration,2025-08-25,2025-09-19,confirmed
231,PO-202504-000231,6,29,937477.12,665,Extended impactful methodology,2025-04-21,2025-05-27,confirmed
232,PO-202503-000232,6,29,613348.45,313,Configurable optimal conglomeration,2025-03-09,2025-04-22,confirmed
233,PO-202503-000233,6,33,1107790.45,98,Decentralized transitional extranet,2025-03-15,2025-03-30,confirmed
234,PO-202506-000234,6,33,3219261.46,136,Enhanced zero administration throughput,2025-06-19,2025-09-17,confirmed
235,PO-202505-000235,6,33,3452731.86,456,Total zero administration Local Area Network,2025-05-09,2025-05-25,confirmed
236,PO-202511-000236,6,33,4417292.0,837,Programmable national hub,2025-11-27,2025-12-27,confirmed
237,PO-202503-000237,6,33,4408716.47,490,Profound multi-tasking matrix,2025-03-24,2025-04-17,confirmed
238,PO-202510-000238,6,33,2705986.98,749,Multi-lateral executive core,2025-10-28,2025-11-25,confirmed
239,PO-202504-000239,6,33,2324229.69,903,Fundamental cohesive instruction set,2025-04-03,2025-05-26,confirmed
240,PO-202508-000240,6,33,2704076.64,833,Open-architected zero administration project,2025-08-03,2025-09-04,confirmed
241,PO-202505-000241,6,33,983012.51,577,Mandatory multi-tasking standardization,2025-05-06,2025-05-22,delivered
242,PO-202505-000242,6,33,4167726.61,451,Team-oriented incremental task-force,2025-05-22,2025-07-20,confirmed
243,PO-202511-000243,6,33,4047588.8,156,Persevering 24/7 instruction set,2025-11-23,2026-01-29,delivered
244,PO-202512-000244,6,33,4367841.29,881,Self-enabling 24/7 core,2025-12-18,2026-01-29,confirmed
245,PO-202510-000245,6,26,1052045.05,127,Profit-focused bandwidth-monitored process improvement,2025-10-17,2026-01-15,confirmed
246,PO-202505-000246,6,26,1938184.87,440,Seamless eco-centric array,2025-05-01,2025-06-25,confirmed
247,PO-202509-000247,6,26,1503543.85,661,Vision-oriented object-oriented interface,2025-09-08,2025-10-03,confirmed
248,PO-202510-000248,6,39,217043.06,739,Secured bandwidth-monitored strategy,2025-10-10,2025-11-30,confirmed
249,PO-202504-000249,6,39,292293.25,675,Balanced value-added challenge,2025-04-12,2025-06-04,confirmed
250,PO-202507-000250,6,39,191669.43,522,Multi-layered empowering access,2025-07-04,2025-08-12,confirmed
251,PO-202511-000251,6,39,123943.25,56,Team-oriented upward-trending system engine,2025-11-19,2026-01-03,confirmed
252,PO-202512-000252,6,39,151478.92,247,Triple-buffered explicit application,2025-12-31,2026-03-19,delivered
253,PO-202505-000253,6,39,55509.05,911,Enhanced actuating emulation,2025-05-22,2025-06-07,confirmed
254,PO-202509-000254,6,39,318514.91,136,Enterprise-wide dynamic analyzer,2025-09-19,2025-11-22,delivered
255,PO-202601-000255,6,39,162139.81,560,Multi-channeled needs-based info-mediaries,2026-01-23,2026-03-01,confirmed
256,PO-202509-000256,6,39,324771.79,789,Future-proofed heuristic time-frame,2025-09-21,2025-10-15,confirmed
